word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,RegionId,LineId,imageFile,,
Dialogic,12,Helvetica,r,496,330,552,344,192,46,0,8,I_0088.jpg,,
however,12,Helvetica,r,559,330,621,343,195,47,0,8,I_0088.jpg,,
experience,12,Helvetica,r,627,330,701,344,199,48,0,8,I_0088.jpg,,
with,12,Helvetica,r,82,350,111,361,207,49,0,9,I_0088.jpg,,
others,12,Helvetica,r,117,350,160,361,209,50,0,9,I_0088.jpg,,
such,12,Helvetica,r,166,350,195,361,210,51,0,9,I_0088.jpg,,
as,12,Helvetica,r,200,353,214,361,213,52,0,9,I_0088.jpg,,
Rhetorix,12,Helvetica,r,220,350,276,361,171,53,0,9,I_0088.jpg,,
and,12,Helvetica,r,281,350,305,361,212,54,0,9,I_0088.jpg,,
Natural,12,Helvetica,r,312,350,361,361,212,55,0,9,I_0088.jpg,,
Microsystems,12,Helvetica,r,367,350,460,364,211,56,0,9,I_0088.jpg,,
is,12,Helvetica,r,466,350,475,361,201,57,0,9,I_0088.jpg,,
okay,12,Helvetica,r,480,350,515,364,204,58,0,9,I_0088.jpg,,
Prefer,12,Helvetica,r,521,350,562,361,212,59,0,9,I_0088.jpg,,
years,12,Helvetica,r,580,353,615,364,211,60,0,9,I_0088.jpg,,
or,12,Helvetica,r,620,353,634,361,212,61,0,9,I_0088.jpg,,
more,12,Helvetica,r,639,353,674,361,212,62,0,9,I_0088.jpg,,
experience,12,Helvetica,r,82,371,157,385,210,63,0,10,I_0088.jpg,,
with,12,Helvetica,r,162,371,191,382,211,64,0,10,I_0088.jpg,,
PC,12,Helvetica,r,197,371,213,382,201,65,0,10,I_0088.jpg,,
Based,12,Helvetica,r,219,371,257,382,212,66,0,10,I_0088.jpg,,
Voice,12,Helvetica,r,263,371,300,382,212,67,0,10,I_0088.jpg,,
Mail,12,Helvetica,r,306,371,338,384,203,68,0,10,I_0088.jpg,,
but,12,Helvetica,r,344,371,366,382,212,69,0,10,I_0088.jpg,,
will,12,Helvetica,r,371,371,393,382,212,70,0,10,I_0088.jpg,,
consider,12,Helvetica,r,398,371,456,382,199,71,0,10,I_0088.jpg,,
as,12,Helvetica,r,462,374,475,382,212,72,0,10,I_0088.jpg,,
little,12,Helvetica,r,480,371,509,382,206,73,0,10,I_0088.jpg,,
as,12,Helvetica,r,514,374,528,382,213,74,0,10,I_0088.jpg,,
years,12,Helvetica,r,545,374,584,385,205,75,0,10,I_0088.jpg,,
Need,12,Helvetica,r,595,371,629,382,212,76,0,10,I_0088.jpg,,
to,12,Helvetica,r,634,372,648,382,212,77,0,10,I_0088.jpg,,
find,12,Helvetica,r,653,370,678,382,209,78,0,10,I_0088.jpg,,
Senior,12,Helvetica,r,82,391,125,402,211,79,0,11,I_0088.jpg,,
level,12,Helvetica,r,130,391,160,402,212,80,0,11,I_0088.jpg,,
person,12,Helvetica,r,167,394,212,405,211,81,0,11,I_0088.jpg,,
who,12,Helvetica,r,218,391,246,402,209,82,0,11,I_0088.jpg,,
can,12,Helvetica,r,251,394,274,402,212,83,0,11,I_0088.jpg,,
come,12,Helvetica,r,280,394,316,402,212,84,0,11,I_0088.jpg,,
on,12,Helvetica,r,321,394,337,402,212,85,0,11,I_0088.jpg,,
board,12,Helvetica,r,344,391,382,402,211,86,0,11,I_0088.jpg,,
and,12,Helvetica,r,388,391,412,402,207,87,0,11,I_0088.jpg,,
pick,12,Helvetica,r,418,391,444,405,212,88,0,11,I_0088.jpg,,
up,12,Helvetica,r,450,394,465,405,212,89,0,11,I_0088.jpg,,
code,12,Helvetica,r,471,391,503,402,213,90,0,11,I_0088.jpg,,
with,12,Helvetica,r,508,391,537,402,205,91,0,11,I_0088.jpg,,
very,12,Helvetica,r,542,394,571,405,213,92,0,11,I_0088.jpg,,
little,12,Helvetica,r,576,391,605,402,210,93,0,11,I_0088.jpg,,
training,12,Helvetica,r,611,391,666,405,200,94,0,11,I_0088.jpg,,
Present,12,Helvetica,r,83,412,134,423,210,95,0,12,I_0088.jpg,,
Operating,12,Helvetica,r,139,412,206,426,198,96,0,12,I_0088.jpg,,
System,12,Helvetica,r,212,412,259,426,212,97,0,12,I_0088.jpg,,
is,12,Helvetica,r,266,412,274,423,210,98,0,12,I_0088.jpg,,
DOS,12,Helvetica,r,280,412,311,423,163,99,0,12,I_0088.jpg,,
May,12,Helvetica,r,321,412,350,426,212,100,0,12,I_0088.jpg,,
go,12,Helvetica,r,355,415,371,426,214,101,0,12,I_0088.jpg,,
to,12,Helvetica,r,376,413,389,423,212,102,0,12,I_0088.jpg,,
OS2,12,Helvetica,r,394,412,425,423,61,103,0,12,I_0088.jpg,,
or,12,Helvetica,r,431,415,445,423,211,104,0,12,I_0088.jpg,,
UNIX,12,Helvetica,r,450,412,483,423,200,105,0,12,I_0088.jpg,,
in,12,Helvetica,r,489,412,499,423,212,106,0,12,I_0088.jpg,,
future,12,Helvetica,r,504,412,550,423,206,107,0,12,I_0088.jpg,,
Please,12,Helvetica,r,83,453,125,464,212,108,0,13,I_0088.jpg,,
reply,12,Helvetica,r,131,453,164,467,212,109,0,13,I_0088.jpg,,
to,12,Helvetica,r,169,454,186,464,206,110,0,13,I_0088.jpg,,
Kim,12,Helvetica,r,83,473,106,484,204,111,0,14,I_0088.jpg,,
Anderson,12,Helvetica,r,112,472,177,484,207,112,0,14,I_0088.jpg,,
AdNET,13,Helvetica,r,82,493,127,504,182,113,0,15,I_0088.jpg,,
fax,12,Helvetica,r,191,512,211,524,213,114,0,16,I_0088.jpg,,
kimandermemphisonlinecom,12,Helvetica,r,83,532,302,547,189,115,0,17,I_0088.jpg,,
