word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,RegionId,LineId,imageFile
want,22,Times,i,204,262,238,272,205,116,3,17,Slide1.jpg
mc,23,Times,r,244,264,264,272,52,117,3,17,Slide1.jpg
for,23,Times,r,270,260,290,272,213,118,3,17,Slide1.jpg
for,23,Times,r,354,259,374,272,206,120,3,17,Slide1.jpg
myself,23,Times,r,379,260,429,276,211,121,3,17,Slide1.jpg
the,23,Times,r,433,260,453,272,206,122,3,17,Slide1.jpg
same,23,Times,r,459,264,495,272,208,123,3,17,Slide1.jpg
olf,23,Times,r,501,259,522,272,112,124,3,17,Slide1.jpg
self,23,Times,r,525,259,552,272,209,125,3,17,Slide1.jpg
they,23,Times,r,555,260,585,276,207,126,3,17,Slide1.jpg
did,23,Times,r,591,259,612,272,208,127,3,17,Slide1.jpg
not,23,Times,r,618,262,640,272,211,128,3,17,Slide1.jpg
want,23,Times,r,36,282,70,291,204,129,3,18,Slide1.jpg
They,23,Times,r,80,279,116,295,211,130,3,18,Slide1.jpg
must,23,Times,r,122,281,156,291,212,131,3,18,Slide1.jpg
want,23,Times,r,161,281,195,291,209,132,3,18,Slide1.jpg
me,23,Times,r,200,283,221,291,207,133,3,18,Slide1.jpg
for,23,Times,r,227,279,247,291,205,134,3,18,Slide1.jpg
something,23,Times,r,252,279,326,295,186,135,3,18,Slide1.jpg
else,23,Times,r,332,279,363,293,200,136,3,18,Slide1.jpg
for,23,Times,r,369,279,389,291,209,137,3,18,Slide1.jpg
something,23,Times,r,394,279,468,295,206,138,3,18,Slide1.jpg
that,23,Times,r,474,279,500,291,212,139,3,18,Slide1.jpg
is,23,Times,r,506,283,516,291,210,140,3,18,Slide1.jpg
outside,23,Times,r,522,279,572,291,205,141,3,18,Slide1.jpg
of,23,Times,r,578,279,592,291,208,142,3,18,Slide1.jpg
me,23,Times,r,598,283,622,293,49,143,3,18,Slide1.jpg
for,23,Times,r,628,279,648,291,210,144,3,18,Slide1.jpg
something,23,Times,r,36,299,110,315,208,145,3,19,Slide1.jpg
that,23,Times,r,116,298,142,311,211,146,3,19,Slide1.jpg
is,23,Times,r,148,298,158,311,214,147,3,19,Slide1.jpg
not,23,Times,r,164,301,186,311,206,148,3,19,Slide1.jpg
Shall,23,Times,r,207,298,242,311,206,150,3,19,Slide1.jpg
tell,23,Times,r,258,299,280,311,210,152,3,19,Slide1.jpg
you,23,Times,r,286,303,311,315,207,153,3,19,Slide1.jpg
what,23,Times,r,317,299,351,311,206,154,3,19,Slide1.jpg
that,23,Times,r,357,299,382,311,212,155,3,19,Slide1.jpg
something,23,Times,r,388,298,462,315,211,156,3,19,Slide1.jpg
is,23,Times,r,468,298,486,311,161,157,3,19,Slide1.jpg
It,23,Times,r,492,299,502,311,211,158,3,19,Slide1.jpg
is,23,Times,r,508,298,518,311,214,159,3,19,Slide1.jpg
for,23,Times,r,524,298,544,311,213,160,3,19,Slide1.jpg
the,23,Times,r,549,299,570,311,210,161,3,19,Slide1.jpg
recognition,23,Times,r,576,298,657,315,210,162,3,19,Slide1.jpg
have,23,Times,r,47,318,79,330,197,164,3,20,Slide1.jpg
recieved,23,Times,r,85,317,149,330,160,165,3,20,Slide1.jpg
That,23,Times,r,155,318,187,330,207,166,3,20,Slide1.jpg
recognition,23,Times,r,192,317,273,334,209,167,3,20,Slide1.jpg
is,23,Times,r,279,317,289,330,211,168,3,20,Slide1.jpg
not,23,Times,r,295,320,317,330,210,169,3,20,Slide1.jpg
Then,23,Times,r,337,318,373,330,212,171,3,20,Slide1.jpg
again,23,Times,r,379,317,416,334,211,172,3,20,Slide1.jpg
for,23,Times,r,423,317,442,330,210,173,3,20,Slide1.jpg
the,23,Times,r,447,318,468,330,205,174,3,20,Slide1.jpg
money,23,Times,r,474,322,522,334,208,175,3,20,Slide1.jpg
have,23,Times,r,538,318,570,330,206,177,3,20,Slide1.jpg
earned,23,Times,r,576,318,623,330,208,178,3,20,Slide1.jpg
and,23,Times,r,629,318,654,330,208,179,3,20,Slide1.jpg
am,23,Times,r,36,342,57,350,212,180,3,21,Slide1.jpg
carnin,23,Times,r,63,337,110,350,150,181,3,21,Slide1.jpg
But,23,Times,r,117,338,142,350,212,182,3,21,Slide1.jpg
money,23,Times,r,147,342,195,354,213,183,3,21,Slide1.jpg
is,23,Times,r,201,337,211,350,211,184,3,21,Slide1.jpg
not,23,Times,r,217,341,239,350,212,185,3,21,Slide1.jpg
And,23,Times,r,258,338,289,350,211,187,3,21,Slide1.jpg
is,23,Times,r,295,337,305,350,212,188,3,21,Slide1.jpg
it,23,Times,r,311,337,320,350,211,189,3,21,Slide1.jpg
for,23,Times,r,325,338,345,350,212,190,3,21,Slide1.jpg
the,23,Times,r,351,338,372,350,212,191,3,21,Slide1.jpg
recognition,23,Times,r,377,337,457,354,206,192,3,21,Slide1.jpg
and,23,Times,r,463,338,488,350,210,193,3,21,Slide1.jpg
money,18,Times,b,494,342,545,354,198,194,3,21,Slide1.jpg
that,21,Times,r,550,338,577,350,212,195,3,21,Slide1.jpg
you,23,Times,r,582,342,608,354,211,196,3,21,Slide1.jpg
now,23,Times,r,614,342,644,350,214,197,3,21,Slide1.jpg
want,23,Times,r,36,360,70,369,210,198,3,22,Slide1.jpg
mc,23,Times,r,76,357,104,369,24,199,3,22,Slide1.jpg
