Word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,LineId,RegionId,imageFile
IC,23,HelveticaCentury,r,613,119,639,157,23,41,15,33,i_0240.jpg 
Comatte,14,Helvetica,b,836,172,897,186,27,44,16,34,i_0240.jpg 
Andesite,14,Helvetica,r,481,176,542,189,47,45,16,35,i_0240.jpg 
Basalt,14,Helvetica,b,673,176,715,190,199,47,16,35,i_0240.jpg 
Rare,14,Helvetica,b,843,187,887,201,122,49,16,36,i_0240.jpg 
Increasing,14,Times,r,488,588,559,603,37,50,17,37,i_0240.jpg 
silica,14,Helvetica,b,565,588,598,600,75,51,17,37,i_0240.jpg 
SiC2,14,Helvetica,b,604,588,644,602,44,52,17,37,i_0240.jpg 
Potassium,13,Helvetica,r,209,276,270,287,192,0,0,0,i_0391.jpg 
feldspar,13,Helvetica,r,216,290,263,304,146,1,0,1,i_0391.jpg 
Plagioclase,13,Helvetica,r,482,220,552,234,59,2,1,2,i_0391.jpg 
feldspar,13,Helvetica,r,491,234,540,248,166,3,1,3,i_0391.jpg 
Pyroxene,12,Helvetica,r,668,308,720,322,59,4,2,4,i_0391.jpg 
Amphibole,13,Helvetica,r,468,372,530,385,185,5,3,5,i_0391.jpg 
Ohvine,13,Helvetica,r,789,359,829,370,39,6,4,6,i_0391.jpg 
ENDESC,11,Helvetica,r,54,20,112,32,49,1,0,0,i_0407.jpg 
0Potassium,12,Helvetica,r,678,711,824,762,40,8,3,7,i_0407.jpg 
feldspar,12,Helvetica,r,215,290,264,304,201,9,4,8,i_0407.jpg 
Plagioclase,13,Helvetica,bi,483,220,552,234,48,10,5,9,i_0407.jpg 
feldspar,12,Helvetica,r,491,234,540,248,198,11,5,10,i_0407.jpg 
Pyioxene,12,Helvetica,r,668,308,720,322,33,12,6,11,i_0407.jpg 
Olivine,12,Helvetica,r,789,359,829,370,40,13,7,12,i_0407.jpg 
Cr,95,HelveticaCentury,i,411,522,527,609,34,15,9,14,i_0407.jpg 
Potassium,12,Times,r,209,276,270,288,209,12,4,12,i_0421.jpg 
feldspar,12,Helvetica,r,216,291,264,304,214,13,4,13,i_0421.jpg 
Plagioclase,12,Helvetica,r,483,220,553,234,64,14,5,14,i_0421.jpg 
feldspar,12,Helvetica,r,492,234,540,248,199,15,5,15,i_0421.jpg 
Pyloxene,12,Helvetica,r,668,309,721,322,19,16,6,16,i_0421.jpg 
Amphibole,12,Helvetica,r,468,372,531,385,204,18,7,18,i_0421.jpg 
Olivine,12,Helvetica,r,789,359,829,370,100,20,7,18,i_0421.jpg 
ENDESC,12,Helvetica,r,54,20,112,32,59,1,0,0,i_0432.jpg 
o60,12,Helvetica,r,105,264,138,275,39,6,3,5,i_0432.jpg 
Potassium,13,Times,r,209,276,270,288,209,18,7,16,i_0432.jpg 
feldspar,12,Helvetica,r,216,291,264,304,214,19,7,17,i_0432.jpg 
Plagioclase,12,Helvetica,r,483,220,553,234,70,20,8,18,i_0432.jpg 
feldspar,12,Helvetica,r,492,234,540,248,194,21,8,19,i_0432.jpg 
Amphibole,12,Helvetica,r,468,372,531,385,207,22,9,20,i_0432.jpg 
Olivine,12,Helvetica,r,789,359,829,370,91,23,10,21,i_0432.jpg 
z60,12,Helvetica,r,105,264,138,274,35,3,1,3,i_0452.jpg 
Potassium,12,Times,r,209,276,270,288,210,13,3,13,i_0452.jpg 
feldspar,12,Helvetica,r,216,291,264,304,203,14,3,14,i_0452.jpg 
Plagioclase,12,Helvetica,r,483,220,553,234,83,15,4,15,i_0452.jpg 
feldspar,12,Helvetica,r,492,234,540,248,213,16,4,16,i_0452.jpg 
Olivine,12,Helvetica,r,789,359,829,370,71,19,7,19,i_0452.jpg 
aJ,11,Helvetica,r,104,347,112,353,35,8,3,7,i_0466.jpg 
Potassium,12,Helvetica,r,209,276,270,287,192,16,8,14,i_0466.jpg 
feldspar,12,Helvetica,r,216,291,264,304,201,17,8,15,i_0466.jpg 
Plagioclase,12,Helvetica,r,483,220,553,234,91,18,9,16,i_0466.jpg 
feldspar,12,Helvetica,r,492,234,540,248,169,19,9,17,i_0466.jpg 
Ampli,12,Helvetica,r,468,372,500,385,40,21,11,19,i_0466.jpg 
ibole,12,Helvetica,r,502,372,531,383,83,22,11,19,i_0466.jpg 
Olivine,12,Helvetica,r,789,359,829,370,34,23,12,20,i_0466.jpg 
Potassium,12,Helvetica,r,209,277,270,288,188,0,0,0,i_0492.jpg 
feldspar,12,Helvetica,r,216,291,264,304,203,1,0,1,i_0492.jpg 
Plagioclase,12,Helvetica,r,483,220,553,234,118,2,1,2,i_0492.jpg 
feldspar,12,Helvetica,r,492,235,540,248,152,3,1,3,i_0492.jpg 
Amphibole,12,Helvetica,r,468,372,531,385,171,4,2,4,i_0492.jpg 
Olivine,12,Helvetica,r,789,359,829,371,83,6,4,6,i_0492.jpg 
Muscovite,13,Helvetica,r,190,137,251,149,106,8,3,8,i_0493.jpg 
Quartz,12,Helvetica,r,224,182,262,193,196,9,4,9,i_0493.jpg 
Potassium,13,Helvetica,r,209,277,270,288,194,10,5,10,i_0493.jpg 
feldspar,13,Helvetica,r,216,291,264,304,203,11,5,11,i_0493.jpg 
Plagioclase,13,Helvetica,r,483,220,553,234,88,12,6,12,i_0493.jpg 
feldspar,13,Helvetica,r,492,235,540,248,152,13,6,13,i_0493.jpg 
Amphibole,13,Helvetica,r,468,372,531,385,171,15,8,15,i_0493.jpg 
Olivine,13,Helvetica,r,789,359,829,371,85,17,10,17,i_0493.jpg 
Potassium,12,TimesCentury,r,209,277,270,288,147,14,7,13,i_0514.jpg 
feldspar,13,Helvetica,r,216,291,264,304,186,15,7,14,i_0514.jpg 
Plagioclase,13,Helvetica,r,483,220,553,234,43,16,8,15,i_0514.jpg 
feldspar,13,Helvetica,r,492,235,540,248,169,17,8,16,i_0514.jpg 
Pymxene,11,Helvetica,b,668,309,721,322,41,18,9,17,i_0514.jpg 
Olivine,13,Helvetica,r,789,360,829,371,42,22,10,20,i_0514.jpg 
Ho,51,HelveticaCentury,bi,149,67,228,113,201,1,0,1,i_0554.jpg 
to,51,HelveticaCentury,bi,300,69,353,113,209,3,0,1,i_0554.jpg 
en,51,HelveticaCentury,bi,424,79,492,113,211,5,0,1,i_0554.jpg 
era,51,HelveticaCentury,bi,497,79,586,113,211,6,0,1,i_0554.jpg 
te,51,HelveticaCentury,bi,592,69,642,113,189,7,0,1,i_0554.jpg 
How,51,HelveticaCentury,i,149,67,281,113,206,0,0,0,i_0561.jpg 
to,51,HelveticaCentury,i,300,69,353,113,209,1,0,0,i_0561.jpg 
Generate,51,HelveticaCentury,i,377,67,642,113,201,2,0,0,i_0561.jpg 
Magma,51,HelveticaCentury,i,663,67,875,125,212,3,0,0,i_0561.jpg 
Heat,42,HelveticaCentury,i,67,196,179,234,210,4,0,1,i_0561.jpg 
rocks,42,HelveticaCentury,i,192,196,326,234,209,5,0,1,i_0561.jpg 
above,42,HelveticaCentury,i,357,196,502,234,210,6,0,1,i_0561.jpg 
their,42,HelveticaCentury,i,520,196,632,234,210,7,0,1,i_0561.jpg 
melting,42,HelveticaCentury,i,644,196,825,244,210,8,0,1,i_0561.jpg 
point,42,HelveticaCentury,i,838,196,966,244,208,9,0,1,i_0561.jpg 
How,51,HelveticaCentury,i,149,67,281,113,179,0,0,0,i_0571.jpg 
to,51,HelveticaCentury,i,300,69,353,113,208,1,0,0,i_0571.jpg 
Generate,51,HelveticaCentury,i,377,67,642,113,201,2,0,0,i_0571.jpg 
Magma,51,HelveticaCentury,i,663,67,875,125,212,3,0,0,i_0571.jpg 
Heat,42,HelveticaCentury,i,67,196,179,234,210,4,0,1,i_0571.jpg 
rocks,42,HelveticaCentury,i,192,196,326,234,209,5,0,1,i_0571.jpg 
above,42,HelveticaCentury,i,357,196,502,234,210,6,0,1,i_0571.jpg 
their,42,HelveticaCentury,i,520,196,632,234,209,7,0,1,i_0571.jpg 
melting,42,HelveticaCentury,i,644,196,825,244,211,8,0,1,i_0571.jpg 
point,42,HelveticaCentury,i,838,196,966,244,210,9,0,1,i_0571.jpg 
Lower,42,HelveticaCentury,i,67,344,219,381,205,11,0,2,i_0571.jpg 
melting,42,HelveticaCentury,i,232,344,413,392,204,12,0,2,i_0571.jpg 
point,42,HelveticaCentury,i,426,344,553,392,210,13,0,2,i_0571.jpg 
by,42,HelveticaCentury,i,582,344,655,392,205,14,0,2,i_0571.jpg 
How,51,HelveticaCentury,i,149,67,281,113,206,0,0,0,i_0591.jpg 
to,51,HelveticaCentury,i,300,69,353,113,208,1,0,0,i_0591.jpg 
Generate,51,HelveticaCentury,i,377,67,642,113,201,2,0,0,i_0591.jpg 
Magma,51,HelveticaCentury,i,663,67,875,125,212,3,0,0,i_0591.jpg 
Heat,42,HelveticaCentury,i,67,196,179,234,210,4,0,1,i_0591.jpg 
rocks,42,HelveticaCentury,i,192,196,326,234,210,5,0,1,i_0591.jpg 
above,42,HelveticaCentury,i,357,196,502,234,210,6,0,1,i_0591.jpg 
their,42,HelveticaCentury,i,520,196,632,234,210,7,0,1,i_0591.jpg 
melting,42,HelveticaCentury,i,644,196,825,244,210,8,0,1,i_0591.jpg 
point,42,HelveticaCentury,i,838,196,966,244,210,9,0,1,i_0591.jpg 
Lower,42,HelveticaCentury,i,67,344,219,381,210,11,0,2,i_0591.jpg 
melting,42,HelveticaCentury,i,232,344,412,392,204,12,0,2,i_0591.jpg 
point,42,HelveticaCentury,i,426,344,553,392,210,13,0,2,i_0591.jpg 
by,42,HelveticaCentury,i,582,344,655,392,205,14,0,2,i_0591.jpg 
decreasing,42,HelveticaCentury,i,125,417,393,463,180,15,0,3,i_0591.jpg 
press,42,HelveticaCentury,i,406,427,542,463,191,16,0,3,i_0591.jpg 
ar,42,HelveticaCentury,i,546,427,614,455,48,17,0,3,i_0591.jpg 
How,51,HelveticaCentury,i,149,67,281,113,205,0,0,0,i_0602.jpg 
to,51,HelveticaCentury,i,300,69,353,113,208,1,0,0,i_0602.jpg 
Generate,51,HelveticaCentury,i,377,67,642,113,199,2,0,0,i_0602.jpg 
Magma,51,HelveticaCentury,i,663,67,875,125,212,3,0,0,i_0602.jpg 
Heat,42,HelveticaCentury,i,67,196,179,234,210,5,0,1,i_0602.jpg 
rocks,42,HelveticaCentury,i,192,196,326,234,210,6,0,1,i_0602.jpg 
above,42,HelveticaCentury,i,357,196,502,234,210,7,0,1,i_0602.jpg 
their,42,HelveticaCentury,i,520,196,632,234,209,8,0,1,i_0602.jpg 
melting,42,HelveticaCentury,i,644,196,825,244,211,9,0,1,i_0602.jpg 
point,42,HelveticaCentury,i,838,196,966,244,211,10,0,1,i_0602.jpg 
Lower,42,HelveticaCentury,i,67,344,219,381,210,12,0,2,i_0602.jpg 
melting,42,HelveticaCentury,i,232,344,413,392,210,13,0,2,i_0602.jpg 
point,42,HelveticaCentury,i,426,344,553,392,211,14,0,2,i_0602.jpg 
by,42,HelveticaCentury,i,582,344,655,392,205,15,0,2,i_0602.jpg 
decreasing,42,HelveticaCentury,i,125,417,393,465,183,16,0,3,i_0602.jpg 
press,42,HelveticaCentury,i,406,427,542,465,193,17,0,3,i_0602.jpg 
vola,42,HelveticaCentury,i,308,491,405,529,88,20,0,4,i_0602.jpg 
tiles,42,HelveticaCentury,i,409,491,508,529,210,21,0,4,i_0602.jpg 
eg,43,HelveticaCentury,r,526,491,624,539,27,22,0,4,i_0602.jpg 
H20,42,HelveticaCentury,i,644,491,752,541,30,23,0,4,i_0602.jpg 
END,11,Helvetica,b,54,21,78,31,209,0,0,0,i_0658.jpg 
How,51,HelveticaCentury,bi,149,67,281,112,200,3,0,1,i_0658.jpg 
to,51,HelveticaCentury,bi,300,69,353,113,209,4,0,1,i_0658.jpg 
Generate,51,HelveticaCentury,bi,377,67,642,113,202,5,0,1,i_0658.jpg 
Magma,51,HelveticaCentury,bi,663,67,875,125,212,6,0,1,i_0658.jpg 
Heat,42,HelveticaCentury,bi,67,196,179,234,210,8,0,2,i_0658.jpg 
rocks,42,HelveticaCentury,bi,192,196,326,234,210,9,0,2,i_0658.jpg 
above,42,HelveticaCentury,bi,357,196,502,234,210,10,0,2,i_0658.jpg 
their,42,HelveticaCentury,bi,520,196,632,234,211,11,0,2,i_0658.jpg 
melting,42,HelveticaCentury,bi,644,196,825,244,212,12,0,2,i_0658.jpg 
point,42,HelveticaCentury,bi,838,196,966,244,210,13,0,2,i_0658.jpg 
we,42,HelveticaCentury,bi,132,353,195,381,213,17,0,3,i_0658.jpg 
ltin,42,HelveticaCentury,bi,306,344,379,381,111,21,0,3,i_0658.jpg 
in,42,HelveticaCentury,bi,490,344,532,381,213,25,0,3,i_0658.jpg 
by,42,HelveticaCentury,bi,582,344,655,392,205,27,0,3,i_0658.jpg 
decreasing,42,HelveticaCentury,bi,125,417,393,465,203,28,0,4,i_0658.jpg 
pressure,42,HelveticaCentury,bi,406,427,622,465,203,29,0,4,i_0658.jpg 
dding,42,HelveticaCentury,bi,153,491,290,539,103,31,0,5,i_0658.jpg 
vo,42,HelveticaCentury,bi,307,501,362,529,201,32,0,5,i_0658.jpg 
Ia,42,HelveticaCentury,bi,365,491,405,529,41,33,0,5,i_0658.jpg 
tiles,42,HelveticaCentury,bi,409,491,508,529,206,34,0,5,i_0658.jpg 
H2,42,HelveticaCentury,bi,644,491,698,541,58,37,0,5,i_0658.jpg 
Zoom,11,Helvetica,b,280,730,313,739,191,40,0,6,i_0658.jpg 
Soled,14,Helvetica,r,219,315,253,329,190,1,1,1,i_0690.jpg 
rock,14,Helvetica,r,259,316,289,329,198,2,1,1,i_0690.jpg 
peridotile,15,Helvetica,r,245,335,317,351,38,4,1,2,i_0690.jpg 
Comparing,15,Helvetica,r,149,428,222,444,196,5,1,3,i_0690.jpg 
the,15,Helvetica,r,228,429,248,441,209,6,1,3,i_0690.jpg 
geothermal,15,Helvetica,r,255,428,331,444,198,7,1,3,i_0690.jpg 
gradient,15,Helvetica,r,337,427,378,444,149,8,1,3,i_0690.jpg 
to,15,Helvetica,b,176,448,189,459,209,9,1,4,i_0690.jpg 
the,15,Helvetica,b,194,447,215,459,207,10,1,4,i_0690.jpg 
melting,15,Helvetica,b,221,447,272,463,168,11,1,4,i_0690.jpg 
curve,15,Helvetica,b,278,450,315,459,202,12,1,4,i_0690.jpg 
for,15,Helvetica,b,321,447,339,460,206,13,1,4,i_0690.jpg 
pen,14,Helvetica,r,345,450,367,463,66,14,1,4,i_0690.jpg 
doflte,14,Helvetica,r,155,466,193,479,40,15,1,5,i_0690.jpg 
we,15,Helvetica,b,199,469,218,479,207,16,1,5,i_0690.jpg 
see,15,Helvetica,b,224,469,247,479,210,17,1,5,i_0690.jpg 
that,15,Helvetica,b,253,466,279,479,209,18,1,5,i_0690.jpg 
the,14,Helvetica,r,284,466,305,479,200,19,1,5,i_0690.jpg 
tempera,15,Helvetica,b,311,467,372,482,32,20,1,5,i_0690.jpg 
