Word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,RegionId,LineId,imageFile
Development,34,HelveticaCentury,r,1146,566,1409,606,209,102,20,23,i_0066.jpg 
Tues,34,HelveticaCentury,r,423,665,538,708,146,104,21,24,i_0066.jpg 
CH,34,HelveticaCentury,r,627,670,678,699,179,105,22,25,i_0066.jpg 
CH,34,HelveticaCentury,r,741,670,792,699,175,107,22,25,i_0066.jpg 
Control,34,HelveticaCentury,r,868,667,1010,699,212,110,22,25,i_0066.jpg 
of,34,HelveticaCentury,r,1026,667,1065,699,211,111,22,25,i_0066.jpg 
Microbial,34,HelveticaCentury,r,1079,667,1260,699,212,112,22,25,i_0066.jpg 
Growth,34,HelveticaCentury,r,1276,667,1422,701,210,113,22,25,i_0066.jpg 
Thur,34,HelveticaCentury,r,423,765,540,808,146,115,23,26,i_0066.jpg 
CH,34,HelveticaCentury,r,627,769,678,799,175,116,24,27,i_0066.jpg 
CH,34,HelveticaCentury,r,741,769,792,799,178,118,24,27,i_0066.jpg 
Fri,34,HelveticaCentury,r,423,866,499,909,146,121,25,28,i_0066.jpg 
Blackboard,34,HelveticaCentury,r,629,868,845,900,206,122,26,29,i_0066.jpg 
Quiz3,34,HelveticaCentury,r,860,869,1004,906,40,123,26,29,i_0066.jpg 
SPRING,34,HelveticaCentury,r,701,972,847,1002,193,124,27,30,i_0066.jpg 
BREAK,34,HelveticaCentury,r,863,972,991,1001,212,125,27,30,i_0066.jpg 
DATE,34,HelveticaCentury,r,389,151,485,180,207,129,28,31,i_0066.jpg 
DATE,34,HelveticaCentury,r,389,151,485,180,206,0,0,0,i_0068.jpg 
CHAPTER,34,HelveticaCentury,r,627,151,808,180,212,1,1,1,i_0068.jpg 
Unjt,34,HelveticaCentury,r,1059,147,1187,180,82,2,2,2,i_0068.jpg 
Material,34,HelveticaCentury,r,1238,148,1400,180,210,4,2,2,i_0068.jpg 
Chanr,35,HelveticaCentury,r,1565,138,1681,170,194,5,3,3,i_0068.jpg 
1r,18,Times,i,424,262,466,278,29,7,5,5,i_0068.jpg 
1J,6,Helvetica,bi,860,368,893,384,26,77,16,17,i_0068.jpg 
ILLI,8,Helvetica,r,1080,365,1152,378,32,80,17,19,i_0068.jpg 
Tues,34,HelveticaCentury,r,423,463,538,505,148,100,21,23,i_0068.jpg 
CH,34,HelveticaCentury,r,627,467,678,497,180,101,22,24,i_0068.jpg 
Part,34,HelveticaCentury,r,767,467,843,497,212,103,22,24,i_0068.jpg 
CH,34,HelveticaCentury,r,905,467,956,497,177,105,24,26,i_0068.jpg 
Bacterial,34,HelveticaCentury,r,1033,464,1202,497,199,107,24,26,i_0068.jpg 
Growth,34,HelveticaCentury,r,1218,464,1363,497,209,108,24,26,i_0068.jpg 
Thur,34,HelveticaCentury,r,423,564,540,607,108,110,25,27,i_0068.jpg 
CH,34,HelveticaCentury,r,627,568,678,598,91,111,25,27,i_0068.jpg 
Bacterial,34,HelveticaCentury,r,755,566,924,598,200,114,25,27,i_0068.jpg 
Growth,34,HelveticaCentury,r,939,566,1085,598,210,115,25,27,i_0068.jpg 
Development,34,HelveticaCentury,r,1146,566,1409,606,202,117,25,27,i_0068.jpg 
Tues,34,HelveticaCentury,r,423,665,538,708,146,119,26,28,i_0068.jpg 
CH,34,HelveticaCentury,r,627,670,678,699,76,120,26,28,i_0068.jpg 
CH,34,HelveticaCentury,r,741,670,792,699,83,122,26,28,i_0068.jpg 
Control,34,HelveticaCentury,r,868,667,1010,699,206,125,26,28,i_0068.jpg 
of,34,HelveticaCentury,r,1026,667,1065,699,211,126,26,28,i_0068.jpg 
Microbial,34,HelveticaCentury,r,1079,667,1260,699,210,127,26,28,i_0068.jpg 
Growth,34,HelveticaCentury,r,1276,667,1422,701,210,128,26,28,i_0068.jpg 
Thur,34,HelveticaCentury,r,423,765,540,808,109,130,27,29,i_0068.jpg 
CH,34,HelveticaCentury,r,627,769,678,799,84,131,27,29,i_0068.jpg 
CH,34,HelveticaCentury,r,741,769,792,799,78,133,27,29,i_0068.jpg 
Fri,34,HelveticaCentury,r,423,866,499,909,146,136,28,30,i_0068.jpg 
Blackboard,34,HelveticaCentury,r,629,868,845,900,203,137,28,30,i_0068.jpg 
Quiz3,34,HelveticaCentury,r,860,869,1004,906,40,138,28,30,i_0068.jpg 
SPRING,34,HelveticaCentury,r,596,972,847,1002,204,139,29,31,i_0068.jpg 
BREAK,34,HelveticaCentury,r,863,972,991,1002,212,140,29,31,i_0068.jpg 
11a,94,HelveticaCentury,r,570,1001,701,1079,30,145,29,32,i_0068.jpg 
Upcoming,34,HelveticaCentury,r,623,56,819,96,212,148,30,33,i_0068.jpg 
Schedule,34,HelveticaCentury,r,832,55,1008,87,209,149,30,33,i_0068.jpg 
next,34,HelveticaCentury,r,1050,59,1133,87,211,151,30,33,i_0068.jpg 
weeks,34,HelveticaCentury,r,1181,55,1304,87,211,153,30,33,i_0068.jpg 
Energy,36,HelveticaCentury,r,274,42,365,83,208,0,0,0,i_0100.jpg 
acquisition,36,HelveticaCentury,r,373,41,518,82,204,1,0,0,i_0100.jpg 
in,36,HelveticaCentury,r,527,41,549,74,209,2,0,0,i_0100.jpg 
bacteria,36,HelveticaCentury,r,558,41,664,74,208,3,0,0,i_0100.jpg 
and,36,HelveticaCentury,r,672,41,720,74,210,4,0,0,i_0100.jpg 
archaea,36,HelveticaCentury,r,728,41,840,74,35,5,0,0,i_0100.jpg 
LIGHT,27,HelveticaCentury,r,927,128,986,152,199,6,0,1,i_0100.jpg 
ii,5,Helvetica,r,272,176,300,180,35,7,0,2,i_0100.jpg 
Phototrophy,27,HelveticaCentury,r,274,197,400,229,134,10,0,3,i_0100.jpg 
Light,27,HelveticaCentury,r,406,197,455,229,200,11,0,3,i_0100.jpg 
Photoautotrophy,27,HelveticaCentury,r,552,197,724,229,66,12,0,3,i_0100.jpg 
Photolysis,27,HelveticaCentury,r,824,197,922,229,133,13,0,3,i_0100.jpg 
of,27,HelveticaCentury,r,928,196,948,222,210,14,0,3,i_0100.jpg 
H20,27,HelveticaCentury,r,953,198,988,234,31,15,0,3,i_0100.jpg 
Photosystems,27,HelveticaCentury,r,1435,197,1570,229,158,16,0,3,i_0100.jpg 
absorption,27,HelveticaCentury,r,274,241,379,273,193,18,0,4,i_0100.jpg 
provides,27,HelveticaCentury,r,386,241,469,272,208,19,0,4,i_0100.jpg 
electrons,27,HelveticaCentury,r,274,285,363,310,202,20,0,5,i_0100.jpg 
Photolysis,27,HelveticaCentury,r,824,408,922,440,145,21,1,6,i_0100.jpg 
of,27,HelveticaCentury,r,928,407,947,433,205,22,1,6,i_0100.jpg 
H2S,27,HelveticaCentury,r,953,408,989,445,29,23,1,6,i_0100.jpg 
HS,27,HelveticaCentury,r,996,408,1033,437,32,24,1,6,i_0100.jpg 
or,27,HelveticaCentury,r,1039,415,1059,433,211,25,1,6,i_0100.jpg 
6C02,27,HelveticaCentury,r,823,462,869,498,30,27,1,7,i_0100.jpg 
12HS,27,HelveticaCentury,r,891,462,942,497,30,29,1,7,i_0100.jpg 
6H20,27,HelveticaCentury,r,914,505,961,542,30,33,1,8,i_0100.jpg 
Photosystem,27,HelveticaCentury,r,1435,408,1560,439,169,35,2,9,i_0100.jpg 
II,27,HelveticaCentury,r,1602,409,1612,433,36,38,2,9,i_0100.jpg 
Photoheterotrophy,22,HelveticaCentury,r,480,827,683,853,128,39,3,10,i_0100.jpg 
Light,22,HelveticaCentury,r,480,863,531,889,201,40,3,11,i_0100.jpg 
absorption,22,HelveticaCentury,r,537,863,650,890,206,41,3,11,i_0100.jpg 
without,22,HelveticaCentury,r,479,899,559,919,188,42,3,12,i_0100.jpg 
fixation,22,HelveticaCentury,r,606,899,685,919,146,44,3,12,i_0100.jpg 
Photolysis,22,HelveticaCentury,r,768,827,873,853,113,45,4,13,i_0100.jpg 
of,22,HelveticaCentury,r,880,827,901,847,210,46,4,13,i_0100.jpg 
H2S,22,HelveticaCentury,r,906,827,945,857,29,47,4,13,i_0100.jpg 
H5,22,HelveticaCentury,r,952,827,992,851,31,48,4,13,i_0100.jpg 
or,22,HelveticaCentury,r,998,833,1019,847,208,49,4,13,i_0100.jpg 
cyclic,22,HelveticaCentury,r,1024,826,1079,853,203,50,4,13,i_0100.jpg 
photophosphorylation,22,HelveticaCentury,r,768,863,1002,890,58,51,4,14,i_0100.jpg 
Lightdriven,22,HelveticaCentury,r,768,905,895,932,89,52,4,15,i_0100.jpg 
pump,22,HelveticaCentury,r,930,912,990,932,210,54,4,15,i_0100.jpg 
or,22,HelveticaCentury,r,995,912,1017,927,210,55,4,15,i_0100.jpg 
Na,22,HelveticaCentury,r,1024,907,1057,927,63,56,4,15,i_0100.jpg 
Organic,22,HelveticaCentury,r,1158,827,1238,853,204,57,5,16,i_0100.jpg 
Photosystem,22,HelveticaCentury,r,1420,827,1552,853,172,58,6,17,i_0100.jpg 
oi,22,HelveticaCentury,r,1570,833,1591,850,36,60,6,17,i_0100.jpg 
II,22,HelveticaCentury,r,1597,827,1608,847,30,61,6,17,i_0100.jpg 
Bacterlorhodopsin,22,HelveticaCentury,r,1420,870,1610,896,88,62,6,18,i_0100.jpg 
proteorhodopsin,22,HelveticaCentury,r,1447,906,1621,932,171,64,6,19,i_0100.jpg 
Light,27,HelveticaCentury,r,552,241,601,273,202,65,7,20,i_0100.jpg 
absorption,27,HelveticaCentury,r,607,241,712,273,209,66,7,20,i_0100.jpg 
drives,27,HelveticaCentury,r,552,285,610,310,208,67,7,21,i_0100.jpg 
CO2,27,HelveticaCentury,r,616,286,649,322,89,68,7,21,i_0100.jpg 
fixation,27,HelveticaCentury,r,654,285,728,310,158,69,7,21,i_0100.jpg 
6C02,27,HelveticaCentury,r,823,251,869,287,37,70,8,22,i_0100.jpg 
12H20,27,HelveticaCentury,r,891,250,946,287,32,72,8,22,i_0100.jpg 
CHUO,27,HelveticaCentury,r,823,295,891,331,31,74,8,23,i_0100.jpg 
6H20,27,HelveticaCentury,r,914,295,961,331,38,76,8,23,i_0100.jpg 
and,27,HelveticaCentury,r,1435,241,1470,266,202,79,9,24,i_0100.jpg 
II,27,HelveticaCentury,r,1477,242,1487,266,35,80,9,24,i_0100.jpg 
Phototrophyutil,41,HelveticaCentury,r,339,68,702,116,128,1,0,0,i_0208.jpg 
izes,41,HelveticaCentury,r,709,69,786,106,184,2,1,1,i_0208.jpg 
light,41,HelveticaCentury,r,805,68,898,116,206,3,2,2,i_0208.jpg 
energy,41,HelveticaCentury,r,916,79,1066,116,212,4,3,3,i_0208.jpg 
to,41,HelveticaCentury,r,1081,72,1125,106,212,5,3,3,i_0208.jpg 
excite,41,HelveticaCentury,r,1143,69,1270,106,212,6,3,3,i_0208.jpg 
electron,41,HelveticaCentury,r,1288,68,1469,106,213,7,3,3,i_0208.jpg 
energy,41,HelveticaCentury,r,337,146,488,183,212,9,5,5,i_0208.jpg 
captured,41,HelveticaCentury,r,504,135,700,183,212,10,5,5,i_0208.jpg 
is,41,HelveticaCentury,r,721,136,750,173,207,11,5,5,i_0208.jpg 
used,41,HelveticaCentury,r,769,136,869,173,212,12,5,5,i_0208.jpg 
to,41,HelveticaCentury,r,887,140,931,173,213,13,5,5,i_0208.jpg 
power,41,HelveticaCentury,r,951,146,1090,183,213,14,5,5,i_0208.jpg 
metabolism,41,HelveticaCentury,r,1108,135,1381,173,183,15,5,5,i_0208.jpg 
Chlorophyllbased,35,HelveticaCentury,r,427,235,772,276,205,17,5,6,i_0208.jpg 
and,35,HelveticaCentury,r,788,235,856,268,212,18,5,6,i_0208.jpg 
nonchlorophyllbased,35,HelveticaCentury,r,873,235,1303,276,209,19,5,6,i_0208.jpg 
types,35,HelveticaCentury,r,1318,239,1421,276,212,20,5,6,i_0208.jpg 
Chanr,35,HelveticaCentury,r,1565,138,1681,171,108,22,7,8,i_0208.jpg 
izes,42,HelveticaCentury,r,709,69,786,106,184,0,0,0,i_0211.jpg 
light,41,HelveticaCentury,r,805,68,898,116,211,1,1,1,i_0211.jpg 
energy,41,HelveticaCentury,r,916,79,1066,116,212,2,1,1,i_0211.jpg 
to,41,HelveticaCentury,r,1081,72,1125,106,212,3,1,1,i_0211.jpg 
excite,41,HelveticaCentury,r,1143,69,1270,106,211,4,1,1,i_0211.jpg 
electrons,41,HelveticaCentury,r,1288,68,1506,114,206,5,1,1,i_0211.jpg 
energy,41,HelveticaCentury,r,337,146,488,183,213,6,2,2,i_0211.jpg 
captured,41,HelveticaCentury,r,504,135,700,183,212,7,2,2,i_0211.jpg 
is,41,HelveticaCentury,r,721,136,750,173,211,8,2,2,i_0211.jpg 
used,41,HelveticaCentury,r,769,136,869,173,213,9,2,2,i_0211.jpg 
to,41,HelveticaCentury,r,887,140,931,173,212,10,2,2,i_0211.jpg 
power,41,HelveticaCentury,r,951,146,1090,183,214,11,2,2,i_0211.jpg 
metabolism,41,HelveticaCentury,r,1108,135,1381,173,185,12,2,2,i_0211.jpg 
Chlorophyllbased,35,HelveticaCentury,r,427,235,772,276,205,14,3,3,i_0211.jpg 
and,35,HelveticaCentury,r,788,235,856,268,212,15,3,3,i_0211.jpg 
nonchlorophyllbased,35,HelveticaCentury,r,873,235,1303,276,209,16,3,3,i_0211.jpg 
types,35,HelveticaCentury,r,1318,239,1421,276,212,17,3,3,i_0211.jpg 
Features,41,HelveticaCentury,r,333,362,527,397,210,18,3,4,i_0211.jpg 
common,41,HelveticaCentury,r,543,370,741,397,211,19,3,4,i_0211.jpg 
to,41,HelveticaCentury,r,757,363,803,397,214,20,3,4,i_0211.jpg 
all,41,HelveticaCentury,r,820,359,870,397,210,21,3,4,i_0211.jpg 
phototrophy,41,HelveticaCentury,r,890,359,1177,407,189,22,3,4,i_0211.jpg 
Photoreceptor,41,HelveticaCentury,r,387,466,711,514,210,24,3,5,i_0211.jpg 
molecules,41,HelveticaCentury,r,728,466,951,504,211,25,3,5,i_0211.jpg 
that,41,HelveticaCentury,r,968,466,1057,504,211,26,3,5,i_0211.jpg 
absorb,41,HelveticaCentury,r,1075,466,1225,504,214,27,3,5,i_0211.jpg 
light,41,HelveticaCentury,r,1245,465,1338,513,206,28,3,5,i_0211.jpg 
Membrane,41,HelveticaCentury,r,387,568,631,607,212,30,3,6,i_0211.jpg 
containing,41,HelveticaCentury,r,649,569,882,616,207,31,3,6,i_0211.jpg 
photopigments,41,HelveticaCentury,r,900,568,1239,616,188,32,3,6,i_0211.jpg 
and,41,HelveticaCentury,r,1257,568,1336,607,214,33,3,6,i_0211.jpg 
accessory,41,HelveticaCentury,r,1355,579,1571,616,211,34,3,6,i_0211.jpg 
molecules,41,HelveticaCentury,r,387,636,609,674,205,35,3,7,i_0211.jpg 
Light,41,HelveticaCentury,r,387,739,491,786,208,36,3,8,i_0211.jpg 
reception,41,HelveticaCentury,r,509,740,718,786,213,37,3,8,i_0211.jpg 
linked,41,HelveticaCentury,r,739,739,866,777,208,38,3,8,i_0211.jpg 
to,41,HelveticaCentury,r,884,743,928,776,212,39,3,8,i_0211.jpg 
energy,41,HelveticaCentury,r,946,750,1096,786,212,40,3,8,i_0211.jpg 
capture,41,HelveticaCentury,r,1113,743,1281,787,212,41,3,8,i_0211.jpg 
mechanism,41,HelveticaCentury,r,1301,739,1553,777,212,42,3,8,i_0211.jpg 
Phototrophyutil,41,HelveticaCentury,r,339,68,702,116,95,44,4,9,i_0211.jpg 
Chanr,35,HelveticaCentury,r,1565,138,1681,171,108,46,6,11,i_0211.jpg 
light,41,HelveticaCentury,r,805,68,898,116,206,0,0,0,i_0212.jpg 
energy,41,HelveticaCentury,r,337,146,488,183,212,1,0,1,i_0212.jpg 
captured,41,HelveticaCentury,r,504,135,700,183,212,2,0,1,i_0212.jpg 
is,41,HelveticaCentury,r,721,136,750,173,211,3,0,1,i_0212.jpg 
used,41,HelveticaCentury,r,769,136,869,173,212,4,0,1,i_0212.jpg 
to,41,HelveticaCentury,r,887,140,931,173,212,5,0,1,i_0212.jpg 
power,41,HelveticaCentury,r,951,146,1090,183,213,6,0,1,i_0212.jpg 
metabolism,41,HelveticaCentury,r,1108,135,1381,173,185,7,0,1,i_0212.jpg 
Chlorophyllbased,35,HelveticaCentury,r,427,235,772,276,205,9,0,2,i_0212.jpg 
and,35,HelveticaCentury,r,788,235,856,268,212,10,0,2,i_0212.jpg 
nonchlorophyllbased,35,HelveticaCentury,r,873,235,1303,276,209,11,0,2,i_0212.jpg 
types,35,HelveticaCentury,r,1318,239,1421,276,212,12,0,2,i_0212.jpg 
Features,41,HelveticaCentury,r,333,362,526,397,211,13,0,3,i_0212.jpg 
common,41,HelveticaCentury,r,543,370,741,397,212,14,0,3,i_0212.jpg 
to,41,HelveticaCentury,r,757,363,803,397,213,15,0,3,i_0212.jpg 
all,41,HelveticaCentury,r,820,359,870,397,213,16,0,3,i_0212.jpg 
phototrophy,41,HelveticaCentury,r,889,359,1177,407,180,17,0,3,i_0212.jpg 
Photoreceptor,41,HelveticaCentury,r,387,466,711,513,213,19,0,4,i_0212.jpg 
molecules,41,HelveticaCentury,r,728,466,951,504,212,20,0,4,i_0212.jpg 
that,41,HelveticaCentury,r,968,466,1058,504,214,21,0,4,i_0212.jpg 
absorb,41,HelveticaCentury,r,1075,466,1225,504,214,22,0,4,i_0212.jpg 
light,41,HelveticaCentury,r,1245,465,1338,514,214,23,0,4,i_0212.jpg 
Membrane,41,HelveticaCentury,r,387,568,631,607,214,25,0,5,i_0212.jpg 
containing,41,HelveticaCentury,r,649,570,882,616,214,26,0,5,i_0212.jpg 
photopigments,41,HelveticaCentury,r,900,568,1239,616,161,27,0,5,i_0212.jpg 
and,41,HelveticaCentury,r,1257,568,1336,607,214,28,0,5,i_0212.jpg 
accessory,41,HelveticaCentury,r,1355,579,1571,616,212,29,0,5,i_0212.jpg 
molecules,41,HelveticaCentury,r,387,636,609,674,206,30,0,6,i_0212.jpg 
Light,41,HelveticaCentury,r,387,739,491,786,213,31,0,7,i_0212.jpg 
reception,41,HelveticaCentury,r,509,740,718,786,209,32,0,7,i_0212.jpg 
linked,41,HelveticaCentury,r,739,739,866,777,212,33,0,7,i_0212.jpg 
to,41,HelveticaCentury,r,884,743,928,777,212,34,0,7,i_0212.jpg 
energy,41,HelveticaCentury,r,945,750,1097,786,211,35,0,7,i_0212.jpg 
capture,41,HelveticaCentury,r,1113,743,1281,786,212,36,0,7,i_0212.jpg 
mechanism,41,HelveticaCentury,r,1301,739,1553,777,206,37,0,7,i_0212.jpg 
Phototrophyutil,41,HelveticaCentury,r,339,68,702,116,62,39,1,8,i_0212.jpg 
izes,41,HelveticaCentury,r,709,69,786,106,139,40,2,9,i_0212.jpg 
energy,41,HelveticaCentury,r,916,79,1066,116,213,41,3,10,i_0212.jpg 
to,41,HelveticaCentury,r,1081,72,1125,106,212,42,3,10,i_0212.jpg 
excite,41,HelveticaCentury,r,1143,69,1270,106,212,43,3,10,i_0212.jpg 
electron,41,HelveticaCentury,r,1288,68,1469,106,210,44,3,10,i_0212.jpg 
Chanr,35,HelveticaCentury,r,1565,138,1681,171,108,47,6,13,i_0212.jpg 
light,41,HelveticaCentury,r,805,68,898,116,206,0,0,0,i_0249.jpg 
energy,41,HelveticaCentury,r,337,146,488,183,212,1,0,1,i_0249.jpg 
captured,41,HelveticaCentury,r,504,135,700,183,212,2,0,1,i_0249.jpg 
is,41,HelveticaCentury,r,721,136,750,173,211,3,0,1,i_0249.jpg 
used,41,HelveticaCentury,r,769,136,869,173,212,4,0,1,i_0249.jpg 
to,41,HelveticaCentury,r,887,140,931,173,212,5,0,1,i_0249.jpg 
power,41,HelveticaCentury,r,951,146,1090,183,213,6,0,1,i_0249.jpg 
metabolism,41,HelveticaCentury,r,1108,135,1381,173,185,7,0,1,i_0249.jpg 
Chlorophyllbased,35,HelveticaCentury,r,427,235,772,276,205,9,0,2,i_0249.jpg 
and,35,HelveticaCentury,r,788,235,856,268,212,10,0,2,i_0249.jpg 
nonchlorophyllbased,35,HelveticaCentury,r,873,235,1303,276,209,11,0,2,i_0249.jpg 
types,35,HelveticaCentury,r,1318,239,1421,276,212,12,0,2,i_0249.jpg 
Features,41,HelveticaCentury,r,333,362,527,397,210,13,0,3,i_0249.jpg 
common,41,HelveticaCentury,r,543,370,741,397,212,14,0,3,i_0249.jpg 
to,41,HelveticaCentury,r,757,363,804,397,214,15,0,3,i_0249.jpg 
all,41,HelveticaCentury,r,820,359,870,397,212,16,0,3,i_0249.jpg 
phototrophy,41,HelveticaCentury,r,889,359,1177,407,183,17,0,3,i_0249.jpg 
Photoreceptor,41,HelveticaCentury,r,387,466,711,514,213,19,0,4,i_0249.jpg 
molecules,41,HelveticaCentury,r,728,466,951,504,212,20,0,4,i_0249.jpg 
that,41,HelveticaCentury,r,968,466,1058,504,214,21,0,4,i_0249.jpg 
absorb,41,HelveticaCentury,r,1075,466,1225,504,214,22,0,4,i_0249.jpg 
light,41,HelveticaCentury,r,1245,466,1338,514,212,23,0,4,i_0249.jpg 
Membrane,41,HelveticaCentury,r,387,568,631,607,211,25,0,5,i_0249.jpg 
containing,41,HelveticaCentury,r,649,569,882,616,214,26,0,5,i_0249.jpg 
photopigments,41,HelveticaCentury,r,900,568,1239,616,202,27,0,5,i_0249.jpg 
and,41,HelveticaCentury,r,1257,568,1336,607,212,28,0,5,i_0249.jpg 
accessory,41,HelveticaCentury,r,1355,580,1571,616,213,29,0,5,i_0249.jpg 
molecules,41,HelveticaCentury,r,387,636,610,674,205,30,0,6,i_0249.jpg 
Light,41,HelveticaCentury,r,387,739,491,786,205,31,0,7,i_0249.jpg 
reception,41,HelveticaCentury,r,509,740,718,786,210,32,0,7,i_0249.jpg 
linked,41,HelveticaCentury,r,739,739,866,777,212,33,0,7,i_0249.jpg 
to,41,HelveticaCentury,r,884,743,928,776,214,34,0,7,i_0249.jpg 
energy,41,HelveticaCentury,r,945,750,1097,786,213,35,0,7,i_0249.jpg 
capture,41,HelveticaCentury,r,1113,743,1281,786,212,36,0,7,i_0249.jpg 
mechanism,41,HelveticaCentury,r,1301,739,1553,777,211,37,0,7,i_0249.jpg 
photolysis,41,HelveticaCentury,r,305,871,584,920,42,38,1,8,i_0249.jpg 
most,41,HelveticaCentury,r,603,871,740,920,201,39,1,8,i_0249.jpg 
not,41,HelveticaCentury,r,761,876,832,910,212,40,1,8,i_0249.jpg 
all,41,HelveticaCentury,r,849,872,895,910,213,41,1,8,i_0249.jpg 
phototrophy,41,HelveticaCentury,r,915,871,1225,920,157,42,2,9,i_0249.jpg 
lightdriven,41,HelveticaCentury,r,1245,872,1497,920,190,43,2,9,i_0249.jpg 
Phototrophyutil,41,HelveticaCentury,r,339,68,702,116,56,45,3,10,i_0249.jpg 
izes,41,HelveticaCentury,r,709,69,786,106,173,46,4,11,i_0249.jpg 
energy,41,HelveticaCentury,r,916,79,1066,116,212,47,5,12,i_0249.jpg 
to,41,HelveticaCentury,r,1081,72,1125,106,212,48,5,12,i_0249.jpg 
excite,41,HelveticaCentury,r,1143,69,1270,106,212,49,5,12,i_0249.jpg 
electron,41,HelveticaCentury,r,1288,68,1469,106,211,50,5,12,i_0249.jpg 
Chanr,35,HelveticaCentury,r,1565,138,1681,171,108,53,8,15,i_0249.jpg 
Bacteriorhodopsin,35,HelveticaCentury,r,346,50,720,90,69,1,0,0,i_0268.jpg 
singleprotein,35,HelveticaCentury,r,769,49,1045,90,195,3,0,0,i_0268.jpg 
lightdriven,35,HelveticaCentury,r,1061,49,1278,90,191,4,0,0,i_0268.jpg 
proton,35,HelveticaCentury,r,1295,54,1421,90,212,5,0,0,i_0268.jpg 
pump,35,HelveticaCentury,r,1438,59,1544,91,210,6,0,0,i_0268.jpg 
to,35,HelveticaCentury,r,344,123,381,151,213,7,0,1,i_0268.jpg 
form,35,HelveticaCentury,r,395,119,485,151,212,8,0,1,i_0268.jpg 
ATPs,35,HelveticaCentury,r,500,121,598,158,183,9,0,1,i_0268.jpg 
linked,35,HelveticaCentury,r,616,119,725,151,208,10,0,1,i_0268.jpg 
to,35,HelveticaCentury,r,740,123,778,151,213,11,0,1,i_0268.jpg 
retinal,35,HelveticaCentury,r,794,119,925,151,199,12,0,1,i_0268.jpg 
Chanr,35,HelveticaCentury,r,1565,138,1681,171,191,13,1,2,i_0268.jpg 
